doc_id,date,year,half_year,category,sub_category,micro_market,sentiment,entity_type,headline,body_text,verified_datapoint,source_attribution,language_register,text_length_class,ner_tags,ner_classes
N001,2020-01-15,2020,H1,Commercial,Office Leasing,Outer Ring Road,Positive,Market Report,"Bengaluru ends 2019 with robust office absorption; ORR retains dominance","Bengaluru closed calendar year 2019 on a strong note, recording approximately 12 million square feet of gross office space absorption across Grade-A buildings. The Outer Ring Road micro-market retained its position as the city's dominant office node, accounting for nearly 45 per cent of total leasing volume. IT and ITeS occupiers continued to anchor demand, with Global Capability Centres (GCCs) emerging as the fastest-growing occupier category. Embassy Office Parks REIT reported healthy occupancy levels across its Bengaluru properties. Brokerages expected the momentum to continue through early 2020, supported by strong hiring pipelines in the technology sector.",No — pre-period datapoint used as corpus context,"JLL, Embassy REIT public filings",Formal/Analytical,Medium,"Bengaluru, Outer Ring Road, ORR, GCC, Embassy Office Parks, IT/ITeS, Grade-A","LOCATION, LOCATION, ORG, ORG, ORG, SECTOR, CATEGORY"
N002,2020-03-26,2020,H1,Residential,Market Disruption,Pan Bengaluru,Negative,News Report,"COVID-19 Effect: Housing sales and new launches dip 42% each in Q1 2020","Residential sales across India's top seven cities saw a 42 per cent year-on-year drop in Q1 2020, according to ANAROCK Property Consultants. In Q1 2020, total sales stood at 45,200 units against 78,510 units a year ago. New launches fell an identical 42 per cent, from 70,480 in Q1 2019 to approximately 41,200 units. Bengaluru added approximately 8,600 new units in Q1 2020, a quarterly decrease of 18 per cent, with over 87 per cent of new supply in the sub-INR 80 lakh price bracket. The nationwide lockdown imposed on 25 March 2020 brought all construction and site activity to a halt, compounding the demand shock already evident in the quarter.",YES — Bengaluru Q1 2020 launches 8,600 units; India top-7 sales 45,200 units,"ANAROCK Property Consultants, Press Release 26 March 2020",News Wire/Formal,Long,"ANAROCK, Bengaluru, India, Q1 2020, INR, COVID-19","ORG, LOCATION, LOCATION, DATE, CURRENCY, EVENT"
N003,2020-04-20,2020,H1,Policy,Stamp Duty,Pan Bengaluru,Positive,Government Announcement,"Karnataka reduces stamp duty for affordable homes to revive registrations","The Government of Karnataka announced a reduction in stamp duty for sub-INR 20 lakh residential properties to 2 per cent, and for properties priced between INR 21 lakh and INR 35 lakh to 3 per cent. The relief measure, aimed at stimulating property registrations during the pandemic-induced slowdown, was welcomed by affordable housing developers. CREDAI Bengaluru stated that the measure would benefit buyers in the peripheral areas of the city where affordability thresholds were still largely within the INR 20-35 lakh range. However, analysts noted the impact would be limited in Bengaluru's primary market where median ticket sizes exceed INR 60 lakh.",YES — Karnataka stamp duty reduction policy 2020,Karnataka Government Gazette / CREDAI statement,Formal/Policy,Medium,"Karnataka Government, CREDAI Bengaluru, BDA, INR, stamp duty","ORG, ORG, ORG, CURRENCY, LEGAL"
N004,2020-07-10,2020,H1,Finance,Home Loans,Pan Bengaluru,Positive,Analysis,"Home loan rates at decade low: How sub-7% borrowing is reshaping Bengaluru homebuyer sentiment","The Reserve Bank of India's accommodative monetary policy stance kept the repo rate at a record low 4 per cent through 2020, pushing home loan rates to below 7 per cent — a level not seen in over a decade. SBI's repo-linked home loan, launched at 6.95 per cent, effectively reduced EMIs for a INR 50 lakh, 20-year loan by approximately INR 3,200 per month compared to 2019 levels. In Bengaluru, real estate portals reported a 40 per cent month-on-month uptick in housing enquiries following the rate cut cycle. Analysts at PropEquity noted that improved affordability combined with growing preference for home ownership during the pandemic was creating a demand tailwind that would likely sustain through the festive season.",YES — RBI repo rate 4%; SBI home loan ~6.95%,"RBI monetary policy statements, SBI press release, PropEquity",Analytical/Feature,Long,"Reserve Bank of India, SBI, Bengaluru, PropEquity, INR, EMI, repo rate","ORG, ORG, LOCATION, ORG, CURRENCY, FINANCIAL_TERM, FINANCIAL_TERM"
N005,2020-09-15,2020,H2,Residential,New Launches,Pan Bengaluru,Positive,Market Report,"Bengaluru leads Q2 2020 new launches with 49% share of top-city supply","Despite the nationwide lockdown, Bengaluru emerged as the top-performing city for new residential supply in Q2 2020, accounting for 49 per cent of total new launches across major Indian cities, according to CREDAI Bengaluru. The city's developers leveraged virtual tours, digital booking platforms, and flexible payment schemes to sustain momentum. Demand was concentrated in the affordable segment with 82 per cent of ANAROCK survey respondents in Bengaluru having booked homes either during the lockdown or shortly before it. CREDAI noted that the affordable segment in the city was seeing renewed traction from serious buyers, particularly those motivated by record-low home loan interest rates.",YES — Bengaluru 49% share of Q2 2020 new launches,"CREDAI, ANAROCK Consumer Sentiment Survey",Market Report,Medium,"Bengaluru, CREDAI, ANAROCK, COVID-19, virtual tours","LOCATION, ORG, ORG, EVENT, TECHNOLOGY"
N006,2020-12-28,2020,H2,Residential,Annual Review,Pan Bengaluru,Positive,Annual Wrap,"Bengaluru real estate 2020 wrap: resilience through disruption","Indian residential real estate recorded a total of approximately 1.38 lakh unit sales across the top seven cities in 2020 — the weakest performance in recent years but a testament to the market's structural resilience, according to ANAROCK. Bengaluru maintained its position among the top three residential markets by sales volume despite the pandemic. Average residential prices across the top seven cities remained largely stable in 2020, with Bengaluru registering no material price movement on a yearly basis, unlike previous cycles where demand shocks translated into price corrections. Developer confidence, however, remained intact with launches recovering sharply in Q4 2020.",YES — India top-7 annual 2020 sales: ~1.38 lakh units; prices stable,ANAROCK year-end data,Annual Review/Analytical,Long,"ANAROCK, Bengaluru, India, top 7 cities, Q4 2020","ORG, LOCATION, LOCATION, CATEGORY, DATE"
N007,2021-02-02,2021,H1,Policy,Tax Policy,Pan Bengaluru,Positive,Budget Analysis,"Union Budget 2021: Section 80EEA extension and REIT reforms boost real estate sentiment","The Union Budget 2021-22 extended the additional INR 1.5 lakh tax deduction available under Section 80EEA for first-time homebuyers of affordable properties — a provision originally set to expire in March 2021 — until March 2022. The move provided much-needed certainty to buyers considering sub-INR 45 lakh properties across Bengaluru's peripheral corridors including Electronic City, Kanakapura Road and Yelahanka. Simultaneously, the removal of TDS on REIT distributions opened India's listed REIT market — anchored by Bengaluru's Embassy Office Parks REIT and Mindspace REIT — to a wider class of retail investors. Market participants called the twin measures a significant confidence booster for both residential affordable and commercial asset classes.",YES — Section 80EEA extended; REIT TDS removed Union Budget 2021-22,Finance Ministry / Budget documents 2021,Budget Analysis/Formal,Long,"Union Budget 2021, Section 80EEA, INR, Embassy Office Parks, Mindspace, REIT, TDS","EVENT, LEGAL, CURRENCY, ORG, ORG, FINANCIAL_TERM, FINANCIAL_TERM"
N008,2021-04-28,2021,H1,Residential,Market Disruption,Pan Bengaluru,Negative,News Report,"Second COVID wave and Karnataka lockdown: residential launches fall 40 per cent in Q2 2021","A ferocious second wave of COVID-19 swept across Karnataka in April and May 2021, prompting the state government to impose fresh restrictions on movement and economic activity. New residential project launches in Bengaluru fell approximately 40 per cent quarter-on-quarter in Q2 2021. Construction activity was again suspended, leading to delivery delays on several ongoing projects. RERA Karnataka identified a total of 60 delayed projects in the city involving approximately 29,850 units worth over INR 22,276 crore, up sharply from 20 delayed projects in the previous year. Notwithstanding the Q2 shock, ANAROCK estimated Q2 2021 sales at approximately 3,560 units in Bengaluru, still 19 per cent higher than the corresponding Q2 2020 period.",YES — ANAROCK Q2 2021 Bengaluru sales ~3,560 units; 19% above Q2 2020,"ANAROCK, Karnataka RERA, Business Today 23 June 2021",News/Formal,Long,"Karnataka, COVID-19, Bengaluru, RERA, ANAROCK, INR, Q2 2021","LOCATION, EVENT, LOCATION, ORG, ORG, CURRENCY, DATE"
N009,2021-07-05,2021,H2,Residential,Consumer Trends,Pan Bengaluru,Positive,Feature Article,"Why Bengaluru homebuyers are choosing 3BHK over 2BHK: The work-from-home effect","The pandemic-driven adoption of remote and hybrid working has fundamentally shifted homebuyer preferences in Bengaluru, according to multiple broker surveys conducted through mid-2021. Demand for homes with dedicated study rooms, home offices and utility areas pushed average unit size preferences upward by 12-15 per cent. NoBroker's demand analysis showed a 35 per cent surge in searches for 3BHK apartments above 1,500 sq ft compared to pre-pandemic patterns. Developers including Brigade Enterprises and Prestige Group reported 3BHK configurations accounting for over 55 per cent of bookings in their post-COVID project launches. Pricing for 3BHK units in Whitefield and Sarjapur Road corridors moved from the INR 90 lakh–1.2 crore range in 2019 to INR 1.1–1.5 crore in mid-2021.",YES — demand shift to 3BHK post-COVID is well documented,"NoBroker platform data, Brigade and Prestige public disclosures",Feature/Analytical,Long,"Bengaluru, NoBroker, Brigade Enterprises, Prestige Group, Whitefield, Sarjapur Road, 3BHK, INR","LOCATION, ORG, ORG, ORG, LOCATION, LOCATION, PROPERTY_TYPE, CURRENCY"
N010,2021-10-08,2021,H2,Infrastructure,Metro Connectivity,Whitefield,Positive,News Report,"Namma Metro Purple Line reaches Whitefield: how BMRCL's east corridor is transforming property values","The commissioning of the first operational stations on the Namma Metro Purple Line extension toward Whitefield in late 2021 marked a pivotal moment for the east Bengaluru real estate market. Property portals reported a 10-15 per cent spike in residential enquiries along the Whitefield corridor within weeks of the announcement. Analysts at JLL noted that transit-oriented development premiums of 8-12 per cent were emerging within a 500-metre radius of metro station catchment areas. Developers accelerated project registration timelines to capitalise on the positive sentiment, with RERA Karnataka recording a 22 per cent increase in new registrations in east Bengaluru in Q4 2021 compared to Q3 2021.",YES — Namma Metro Purple Line extension to Whitefield announced/commenced 2021,"JLL, BMRCL, RERA Karnataka, property portals",News/Analytical,Long,"Namma Metro, Purple Line, BMRCL, Whitefield, Bengaluru, JLL, RERA Karnataka","ORG, ORG, ORG, LOCATION, LOCATION, ORG, ORG"
