entity_id,entity_name,entity_type,entity_subtype,first_active_year,last_active_year,sector_role,micro_market_primary,notable_data_point,context_usage,verified
E001,ANAROCK Property Consultants,ORG,Market Research / Broking,2020,2026,Residential Research & Broking,Pan Bengaluru,"Published Q1 2020 data: Bengaluru Q1 launches 8,600 units; 87% sub-INR 80L; annual 2024 Bengaluru: 71,000 launches / 65,200 sales","Primary source for residential launch, sales and pricing data across 2020-2026",YES
E002,JLL India (Jones Lang LaSalle),ORG,Market Research / Commercial Broking,2020,2026,Commercial & Residential Research,Pan Bengaluru — ORR dominant,"Annual 2024: Bengaluru net absorption 14.74 MSF; 66% YoY; Q4 2024 record 6.69 MSF; H1 2025 office 28.2 MSF India-wide","Primary source for commercial office leasing data; also residential commentary",YES
E003,Cushman & Wakefield India,ORG,Market Research / Commercial Broking,2020,2026,Commercial Office Research,Pan Bengaluru — ORR dominant,"Annual 2024: Bengaluru GLV 25.93 MSF (29% India share); net 14.18 MSF; Q4 2025 Bengaluru GLV 7.6 MSF; India 2025 net absorption 61 MSF","Primary source for GLV (Gross Leasing Volume) data; CW Bengaluru MarketBeat quarterly reports",YES
E004,Knight Frank India,ORG,Market Research / Residential Broking,2020,2026,Residential & Office Research,Pan Bengaluru,"H1 2022: Bengaluru sales 26,677 units (+80% YoY); H1 2025: launches 33,498 (+31% YoY); sales 26,599 (-3% YoY); Affordability Index 26% in 2023","Published H2 half-yearly reports; Affordability Index tracks EMI-to-income ratio",YES
E005,Colliers India,ORG,Market Research / Commercial Broking,2020,2026,Commercial Office Research,Pan Bengaluru — ORR + Whitefield,"Q4 2023: India office 58.2 MSF gross absorption; Q3 2024: Bengaluru 6.3 MSF highest-ever quarterly; E&M overtook Tech in Bengaluru 2023 (26% vs 22%)","Key source for sector-wise breakdown of office leasing and GCC data",YES
E006,PropEquity (PE Analytics Ltd),ORG,Residential Data Analytics,2020,2026,Residential Data,Pan Bengaluru,"Annual series: 2020 ~27-28K; 2021: 43,181; 2022: 60,391; Q3 2025: 16,840 units; Jan-Sep 2025: 49,559 units","City-level annual residential sales data; primary source for annual Bengaluru time-series",YES
E007,NoBroker Technologies,ORG,PropTech / Rental Platform,2020,2026,Residential Rental & Consumer Data,Pan Bengaluru — Multiple micro-markets,"2025 rental inflation 7-9%; Kanakapura Road: ₹7,000-14,000/sqft; rent ₹35,000/month; North Bengaluru rental +20-25% projected","Consumer-facing data on rental trends, demand shifts, and emerging investment hotspots",YES
E008,ICRA Ltd,ORG,Credit Rating / Research,2024,2026,Commercial Office Research,Pan Bengaluru,"Bengaluru Grade-A stock 263 MSF (27% of India total); FY2026 net absorption forecast 16-16.5 MSF; occupancy 89-89.5% by March 2026","Used for Grade-A stock estimates and FY-basis forecasts",YES
E009,CREDAI Bengaluru,ORG,Developer Trade Association,2020,2026,Residential Developer Advocacy,Pan Bengaluru,"Q2 2020: Bengaluru led new launches with 49% India share; 2022: construction cost inflation data; 2024: BDA rule revision commentary","Trade body providing developer sentiment data, launch estimates and policy advocacy",YES
E010,Karnataka RERA,ORG,Real Estate Regulatory Authority,2020,2026,Regulatory / Consumer Protection,Pan Bengaluru,"2021: 60 delayed projects (29,850 units; INR 22,276 crore); by Q4 2023: complaints fell 30%; special dues recovery cell launched 2023","Regulatory body; key source for delayed projects, compliance actions and RERA data",YES
E011,BMRCL,ORG,Metro Rail Corporation,2020,2026,Infrastructure / Transit,Pan Bengaluru — Whitefield; Yellow Line Corridor,"Purple Line Whitefield: fully operational 2023; Yellow Line: fully operational August 2024 (all 16 stations; 19 km); Phase 3 approved 2026","Infrastructure entity driving transit-oriented real estate appreciation",YES
E012,Embassy Office Parks REIT,ORG,REIT / Commercial Property,2020,2026,Commercial Office REIT,Outer Ring Road — Bengaluru dominant,"2021: highest-ever quarterly REIT distribution; largest Indian REIT by size; anchored by Bengaluru ORR properties","Key indicator of commercial market health; REIT distributions signal office occupancy recovery",YES
E013,Bengaluru Development Authority (BDA),ORG,Urban Development Authority,2020,2026,Urban Planning / Regulatory,Pan Bengaluru,"2023: Master Plan 2031 — new residential zones in North Bengaluru/Devanahalli; March 2024: revised setback rules giving 15% more saleable area","Urban planning authority determining zoning, FAR and supply parameters",YES
