record_id,year,micro_market,zone,segment,avg_price_psf_inr,price_range_psf_inr,price_yoy_pct,key_demand_driver,primary_buyer_profile,metro_connectivity_status,major_office_parks_nearby,notable_developer_projects,infrastructure_catalyst,market_grade,verified_source,notes
MM001,2020,Whitefield,East,Residential,6200,"5500-7000",5,IT/ITeS employment; ITPL proximity,IT professionals; NRI,Metro Purple Line under construction,ITPL; SAP; ABB; Bosch; GE,Prestige Group; Brigade Enterprises; Sobha,Purple Line metro under construction,AA,Casagrand/JLL/broker reports,Prices held stable despite COVID; metro under construction driving mid-term optimism
MM002,2021,Whitefield,East,Residential,6900,"6000-8000",11,Metro anticipation; IT hiring rebound; WFH demand for larger units,IT professionals; Premium buyers; NRI,Metro Purple Line advancing,ITPL; SAP; ABB; Bosch; GE; Mercedes Benz R&D,Prestige Group; Brigade; Sobha; Sumadhura,Purple Line progress; WFH-driven 3BHK demand,AA,Multiple broker reports,11% YoY appreciation; 3BHK demand surge
MM003,2022,Whitefield,East,Residential,8000,"7000-9500",16,Metro imminent; IT sector demand peak; construction cost inflation,IT professionals; Premium; Luxury buyers,Metro Phase 2 near completion,ITPL; SAP; ABB; Bosch; Mercedes Benz,Prestige Group; Brigade; Sobha; Sumadhura,Purple Line commissioning imminent; cost inflation,AAA,Knight Frank H2 2022; JLL,Sumadhura Capitol Towers commercial development adds to residential appeal
MM004,2023,Whitefield,East,Residential,9200,"8000-11000",15,Purple Line full operation catalysed 20% gain; IT + automotive sector GCC demand,IT executives; Premium/Luxury buyers; NRI,Metro Purple Line FULLY OPERATIONAL (early 2023),ITPL; SAP; ABB; Bosch; Mercedes Benz GCC,Prestige Group; Brigade; Sobha; Sumadhura,Namma Metro Purple Line full connectivity,AAA,BMRCL; broker reports; PropSoch,Purple Line fully operational; Whitefield absorption 12,900 units in 2023
MM005,2024,Whitefield,East,Residential,10500,"9000-13000",14,Post-metro maturation; premium demand; Sumadhura 5L sqft commercial lease,IT executives; Premium/Luxury; NRI; Investors,Metro Purple Line fully operational,ITPL; SAP; ABB; Bosch; Mercedes Benz GCC; new GCCs,Prestige Group; Brigade; Sobha; Sumadhura Capitol Towers,Metro mature + Sumadhura commercial leasing,AAA,ANAROCK; JLL; NoBroker 2026 trends article,Sumadhura Capitol Towers leased 5 lakh sqft to marquee tenants; commercial and residential momentum
MM006,2025,Whitefield,East,Residential,12000,"10500-15000",14,GCC expansion; metro-mature corridor; limited new supply; premium positioning,IT executives; HNWI; NRI; GCC professionals,Metro Purple Line + Phase 3 plans,ITPL; SAP; ABB; Bosch; Mercedes Benz; new GCCs,Prestige Group; Brigade; Sobha,Phase 3 plans announced; STRR planning,AAA,Knight Frank H1 2025; PropSoch,One of India's premium residential micro-markets; prices up ~94% over 5 years in some sub-pockets per PropSoch
MM007,2020,Electronic City,South,Residential,4200,"3800-4800",3,Infosys/Wipro/HCL employment anchor; affordable mid-income corridor,Mid-income IT workers; First-time buyers,Elevated highway only; no metro,Infosys; Wipro; HCL; Tech Mahindra,Assetz; SNN; Subramanya; Mantri,Elevated highway; Yellow Line announced (future),A,PropSoch; broker reports,Affordable IT corridor; sub-INR 80L dominant; COVID-stable
MM008,2022,Electronic City,South,Residential,5000,"4400-5700",10,Yellow Line metro under construction; IT employment stable,Mid-income IT workers; First-time buyers; Early investors,Yellow Line under construction,Infosys; Wipro; HCL; bio-tech firms,Assetz; SNN; Mantri; Puravankara,Yellow Line metro construction active,AA,Multiple broker and PropSoch sources,Construction of Yellow Line drives 10% appreciation; investor interest growing
MM009,2024,Electronic City,South,Residential,6200,"5500-7500",10,Yellow Line metro operational (Aug 2024); IT employment; BMRCL ridership uplift,IT professionals; Metro commuters; Mid-income,Yellow Line FULLY OPERATIONAL (August 2024),Infosys; Wipro; HCL; TCS (1.4 MSF lease),Assetz; Mantri; Sobha,Yellow Line metro opened August 2024,AA,BMRCL; casagrand; Puravankara/Nobroker,Prices up 8-12% post-Yellow Line opening; TCS 1.4 MSF lease in Electronic City per Puravankara blog
MM010,2025,Electronic City,South,Residential,7400,"6500-8500",19,Yellow Line peak frequency; IT employment; metro-driven rental demand,IT professionals; Metro commuters; Rental investors,Yellow Line peak frequency ~10 min (early 2026),Infosys; Wipro; HCL; TCS,Assetz; Mantri; Sobha; Century,Yellow Line peak frequency; future BSRP corridor,AA,NoBroker 2026 article; Housing.com (avg ₹7,426/sqft),Housing.com reports avg ₹7,426/sqft; strong YoY price increase cited
MM011,2020,Sarjapur Road,Southeast,Residential,4800,"4300-5500",4,Wipro/Accenture/SAP proximity; long-term IT corridor; affordable entry point,IT professionals; Mid-income buyers,No metro (peripheral road access),Wipro; Accenture; SAP; Oracle,Prestige Group; Sobha; Assetz; Godrej,Sarjapur Road widening; Metro future planning,A,PropSoch; broker reports,IT corridor with good long-term fundamentals; metro planning at concept stage
MM012,2021,Sarjapur Road,Southeast,Residential,5700,"5100-6500",19,WFH demand for larger 3BHK homes; Prestige Serenity Shores launch at ₹6,500/sqft,IT professionals; Remote workers; NRI,No metro; road widening underway,Wipro; Accenture; SAP; Oracle,Prestige Serenity Shores (1,800 units); Sobha; Assetz; Godrej,WFH-driven 3BHK demand; Prestige mega-launch,AA,Prestige RERA filing; ANAROCK; PropSoch,Prestige Serenity Shores 1800-unit project launched at ₹6,500/sqft; 18% YoY appreciation in 2021
MM013,2023,Sarjapur Road,Southeast,Residential,6800,"6000-8000",12,Purple Line and IT sector employment; premium buyers; ample supply,IT professionals; Premium buyers,No direct metro yet; BSRP future planning,Wipro; Accenture; SAP; Electronic City firms,Prestige; Sobha; Assetz; Century,BSRP corridor planning; Metro future,AA,JLL; PropSoch; Knight Frank H2 2023,Strong demand; appreciated 12% YoY; noted as future investment corridor in Knight Frank H2 2023
MM014,2025,Sarjapur Road,Southeast,Residential,8800,"7800-11000",11,BSRP early work commenced; IT employment; premium housing demand,IT executives; Premium buyers; NRI,No metro yet; BSRP started (post-2027 completion),Wipro; Accenture; GCC hubs,Lodha; Prestige; Sobha; Century; Assetz,BSRP suburban rail early work; Metro Phase 3 plans,AAA,NoBroker 2026 article; Knight Frank H1 2025; PropSoch,NoBroker 2026 article: Sarjapur Road is popular rental destination; BSRP early work commenced
MM015,2020,North Bengaluru / Devanahalli,North,Residential,4200,"3800-5000",4,Airport proximity; KIADB Aerospace Park; early-stage appreciation,Investors; Airport corridor buyers,No metro; airport road connectivity,KIADB Aerospace Park; Manyata Tech Park (Hebbal nearby),Assetz; Vaishnavi; local developers,Airport road; PRR planning,A,PropSoch; broker reports,Early-stage growth corridor; airport proximity and PRR planning driving investor interest
MM016,2022,North Bengaluru / Devanahalli,North,Residential,5500,"4800-6500",20,Peripheral Ring Road project; Manyata Tech Park expansion; plot demand,IT workers from Manyata; Investors,No metro; NH-44 improved; PRR active,KIADB; Manyata Tech Park; Boeing; HAL; Embassy Manyata,Puravankara; Brigade; Assetz; Embassy,PRR project funding released; KIADB aerospace expansion,AA,PropSoch; broker reports,PRR project boosted sentiment; plots surged 20-25% (per news reports); apartment demand growing
MM017,2023,North Bengaluru / Devanahalli,North,Residential,6200,"5400-7500",13,Airport metro anticipation; Manyata Tech Park expansion; 35% new launch spike,IT employees; Investors; Expats,No metro yet; airport metro planning,KIADB; Manyata Tech Park; Boeing; GCC firms,Puravankara; Brigade; Embassy Group; Assetz,35% new launch spike H1 2023; Airport metro planning,AA,ANAROCK H1 2023; Hindustan Times RE Outlook,"New launches surged 35% in Bagalur, Devanahalli, Yelahanka in H1 2023 (news reports)"
MM018,2025,North Bengaluru / Devanahalli,North,Residential,7800,"6800-10000",20,Namma Metro Phase 3 airport HSR corridor approved; STRR operational stretches; Manyata Tech,IT executives; Luxury buyers; NRI,Phase 3 airport HSR Line approved (construction future),KIADB; Manyata Tech Park; GCCs; Boeing,Puravankara; Brigade; Prestige; Embassy,Phase 3 approved; STRR partial operations; 24,000 new units in North Bengaluru,AAA,Knight Frank H1 2025 (31% YoY launch growth nationally; Bengaluru 19% share); Hindustan Times; NoBroker 2026,"Rental appreciation 20-25% projected; North Bengaluru had 56% YoY launch growth in 2024 (ANAROCK); STRR operational stretches per NoBroker 2026"
MM019,2020,Kanakapura Road,South,Residential,3800,"3400-4400",3,Yellow Line announcement catalyst; affordable residential corridor; nature proximity,Affordable buyers; Budget segment,Yellow Line announced (future),Few IT employers; residential focus,Confident Group; local developers; Provident,Yellow Line announcement first catalyst,B,Broker reports; PropSoch,Early-stage affordable corridor; limited IT employment anchors; future metro-driven
MM020,2022,Kanakapura Road,South,Residential,4800,"4300-5600",11,Yellow Line construction active; affordability advantage; improving supply,Mid-income buyers; Early investors,Yellow Line under active construction,Residential corridor; JP Morgan nearby,Confident Group; Puravankara; Assetz; Shriram,Yellow Line construction visible and active,A,Broker reports; PropSoch,Yellow Line construction driving appreciation; first-time buyers and investors active
