event_id,date,year,quarter,event_type,event_name,authority,segment_impact,headline_fact,description,property_market_effect,micro_markets_impacted,verified,source
POL001,2020-03-25,2020,Q1,Regulatory/Emergency,COVID-19 National Lockdown,Government of India,All,Nation-wide lockdown from 25 March 2020 halted all real estate activity,"The nationwide lockdown imposed on 25 March 2020 halted construction sites, property registrations and site visits across India. ANAROCK recorded a 42% YoY drop in Q1 2020 residential sales across top-7 cities. In Bengaluru specifically, Q2 2020 sales fell to approximately 2,990 units, well below pre-pandemic run-rates. Developers invoked force majeure provisions under RERA to defer delivery timelines.","Negative Q1-Q2 2020: ~42% YoY drop in residential sales; construction halt; RERA force majeure","Pan Bengaluru",YES,"ANAROCK Press Release 26 March 2020; RERA Karnataka notifications"
POL002,2020-07-10,2020,Q3,Monetary Policy,RBI Accommodative Policy — Repo at 4%; Home Loans Sub-7%,Reserve Bank of India,Residential Finance,RBI repo rate at record low 4%; SBI home loan at 6.95%,"The RBI's accommodative monetary policy stance maintained the repo rate at a record low 4 per cent through 2020-21. SBI's repo-linked home loan at 6.95 per cent reduced EMIs significantly compared to 2018-19 levels. ANAROCK noted a 40% MoM uptick in housing enquiries in Bengaluru following the rate environment. The affordability improvement was a key driver of residential market recovery in H2 2020 and through 2021.","Positive: ~40% MoM increase in housing enquiries; EMI reduction of ~₹3,200/month on ₹50L loan; market recovery catalyst","Pan Bengaluru",YES,"RBI monetary policy statements 2020; SBI press releases; ANAROCK consumer surveys"
POL003,2021-02-01,2021,Q1,Tax Policy,Union Budget 2021 — Section 80EEA Extension + REIT TDS Removal,Government of India — Finance Ministry,Residential Affordable + Commercial REITs,Section 80EEA extended to March 2022; REIT TDS removed for retail investors,"Union Budget 2021-22 extended the additional INR 1.5 lakh income tax deduction under Section 80EEA for first-time homebuyers of affordable properties (loans sanctioned up to 31 March 2022). The removal of TDS on REIT distributions opened listed REITs like Embassy Office Parks and Mindspace to wider retail and FPI investor participation.","Positive: affordable buyer confidence boosted in peripheral Bengaluru; Embassy REIT and Mindspace benefited from wider investor base","Pan Bengaluru; Electronic City; Kanakapura Road; Peripheral zones",YES,"Finance Ministry Union Budget 2021-22 documents; Embassy REIT filings"
POL004,2021-04-27,2021,Q2,Regulatory/Emergency,Karnataka Second COVID Wave Lockdown — Q2 2021 Activity Halt,Government of Karnataka,All,Karnataka lockdown Q2 2021; 40% drop in residential launches; RERA records 60 delayed projects,"The second wave of COVID-19 in India's Karnataka state led to fresh restrictions in April-May 2021. New residential project launches in Bengaluru fell approximately 40 per cent QoQ in Q2 2021. RERA Karnataka identified 60 delayed projects in Bengaluru involving approximately 29,850 units worth over INR 22,276 crore — a sharp increase from 20 delayed projects the previous year. Q2 2021 Bengaluru residential sales fell to an estimated ~3,560 units per ANAROCK — still 19% above the Q2 2020 pandemic trough.","Negative Q2 2021: 40% drop in launches; 60 delayed projects (29,850 units) under RERA enforcement; Q2 sales ~3,560 units","Pan Bengaluru",YES,"ANAROCK Q2 2021 estimates cited in Business Today 23 June 2021; RERA Karnataka reports"
POL005,2022-05-04,2022,Q2,Monetary Policy,RBI Emergency Rate Hike — 40 bps; Start of 250-bps Tightening Cycle,Reserve Bank of India,Residential Finance,RBI 40-bps off-cycle hike 4 May 2022; cumulative cycle 250 bps; home loans rose from ~6.75% to ~9.5%,"The RBI MPC's off-cycle emergency hike of 40 basis points on 4 May 2022 initiated a tightening cycle that ultimately raised rates by a cumulative 250 basis points before February 2023. Home loan rates moved from the historic lows of 6.75-7 per cent to approximately 9.5 per cent. Knight Frank's affordability data showed Bengaluru's EMI-to-income ratio had improved to 27 per cent in 2022 from 32 per cent in 2019 — but analysts flagged that the rate hike could partially reverse affordability gains for lower-income segments.","Negative for affordability: EMIs up ~₹8,000/month on ₹75L loan over cycle; mid-premium Bengaluru resilient; affordable segment pressured","Pan Bengaluru; Affordable corridors most impacted",YES,"RBI MPC off-cycle statement 4 May 2022; Knight Frank H2 2022 India Real Estate report (Affordability Index)"
POL006,2023-03-01,2023,Q1,Infrastructure,Namma Metro Purple Line — Full Operation Whitefield Extension,BMRCL / Government of Karnataka,Residential + Commercial,Namma Metro Purple Line fully operational 2023; Whitefield sees 20% YoY appreciation; 12,900 units absorbed,"The full commissioning of Namma Metro's Purple Line Whitefield extension in early 2023, enabling continuous metro connectivity from west to east Bengaluru through ITPL Whitefield, was a landmark infrastructure event. Property values in Whitefield appreciated approximately 20 per cent in the twelve months following full operation. Residential absorption in Whitefield alone reached approximately 12,900 units during 2023. Grade-A office vacancy in the Whitefield micro-market declined as metro connectivity improved occupier confidence.","Positive: ~20% YoY price appreciation; 12,900 residential units absorbed in Whitefield; Grade-A office vacancy declined","Whitefield; Marathahalli; Indiranagar; East Bengaluru",YES,"BMRCL commissioning notification; broker reports; multiple news sources 2023"
POL007,2023-01-01,2023,Q1,Urban Planning,BDA Master Plan 2031 — New Residential Zones in North Bengaluru and Periphery,Bengaluru Development Authority,Residential Land Supply,"BDA Master Plan 2031 designates new residential and mixed-use zones; Devanahalli, Bagalur land values up 15-20%","BDA's updated Master Plan 2031 designated new residential and mixed-use zones in North Bengaluru, Bagalur, Devanahalli and peripheral Sarjapur belt, unlocking fresh supply corridors. Land values in Devanahalli and Bagalur appreciated 15-20 per cent following the announcement. New project registrations in North Bengaluru accelerated, with RERA Karnataka recording a 35 per cent rise in new launches in Bagalur, Devanahalli and Yelahanka in H1 2023 compared to H1 2022.","Positive: 15-20% land appreciation in Devanahalli/Bagalur; 35% new launch spike in North Bengaluru H1 2023","North Bengaluru; Bagalur; Devanahalli; Yelahanka",YES,"BDA Master Plan 2031 public notification; ANAROCK H1 2023 report citing 35% North Bengaluru launch growth"
POL008,2024-03-20,2024,Q1,Regulatory,BDA Revised Setback and FAR Rules — Up to 15% More Saleable Area,Bengaluru Development Authority,Residential Supply,BDA revised setback rules effective March 2024; up to 15% more saleable area in select zones,"The BDA's revision to setback norms and Floor Area Ratio rules in March 2024 allowed residential developers in select zones — particularly peripheral corridors — to increase saleable area by up to 15 per cent per plot. CREDAI Bengaluru projected the revision would add approximately 8,000-10,000 additional units to the supply pipeline over 18 months. North Bengaluru and Sarjapur Road developers were primary beneficiaries. The revision complemented ANAROCK's data showing North Bengaluru accounted for 56 per cent YoY launch growth in 2024.","Positive: supply uplift in peripheral zones; contributed to 30% overall launch growth in 2024; North Bengaluru 56% YoY growth","North Bengaluru; Sarjapur Road; Yelahanka; Peripheral zones",YES,"BDA notification March 2024; CREDAI Bengaluru; ANAROCK Annual Report 2024"
POL009,2024-08-11,2024,Q3,Infrastructure,Namma Metro Yellow Line — All 16 Stations Fully Operational,BMRCL / Government of Karnataka,Residential + Rental,Namma Metro Yellow Line 19 km RV Road–Bommasandra fully operational 10-11 August 2024,"The 19-kilometre Namma Metro Yellow Line connecting Rashtreeya Vidyalaya (RV) Road to Bommasandra via Electronic City became fully operational with all 16 stations on 10-11 August 2024. Property prices along Electronic City and Kanakapura Road appreciated 8-12 per cent in the months following commissioning. BMRCL reported strong ridership uptake. The Yellow Line brought total operational Namma Metro network to over 70 kilometres. NoBroker's 2026 article confirmed Kanakapura Road as an investment hotspot with property rates of INR 7,000-14,000 per sq ft and rental of up to INR 35,000 per month post-Yellow Line.","Positive: 8-12% residential appreciation along corridor; Kanakapura Road confirmed investment hotspot; ₹35,000/month rental ceiling","Electronic City; Kanakapura Road; South Bengaluru; Bommasandra",YES,"BMRCL commissioning; NoBroker 2026 article; Casagrand blog; PropSoch"
POL010,2025-03-01,2025,Q1,Infrastructure,Namma Metro Phase 3 — New Corridors Approved Including Hebbal–Airport HSR Line,BMRCL / Government of Karnataka,Residential + Commercial Long-term,Metro Phase 3 approved; 314 km network target by 2030; key corridors include Hebbal-Airport HSR and Bannerghatta extension,"The Government of Karnataka approved new Namma Metro Phase 3 corridors targeting a 314-kilometre operational network by 2030. Key approved corridors include the Hebbal to Kempegowda International Airport High-Speed Rail connector and an extension of the Bannerghatta Road line. The approval generated immediate positive sentiment in North Bengaluru, Hebbal, Devanahalli and Bannerghatta Road corridors. PropSoch noted the Phase 3 expansion includes two new lines: JP Nagar 4th Phase to Kempapura along ORR West and Hosahalli to Kadabagere along Magadi Road.","Positive long-term: North Bengaluru, Hebbal, Devanahalli, Bannerghatta Road appreciation uplift anticipated","North Bengaluru; Hebbal; Devanahalli; Bannerghatta Road; JP Nagar",YES,"Karnataka Government approval notification; BMRCL; PropSoch 2025 article"
