qa_id,year_context,question_type,question,answer,answer_type,difficulty,verified_datapoint,source,topic_tags
QA001,2020,Factual - Quantitative,How many residential units were launched in Bengaluru in Q1 2020?,"Bengaluru added approximately 8,600 new residential units in Q1 2020, a quarterly decrease of 18 per cent from Q4 2019. Over 87 per cent of the new supply was in the sub-INR 80 lakh price bracket. This was part of ANAROCK's Q1 2020 data that showed all-India launches fell 42 per cent year-on-year to approximately 41,200 units across top-7 cities.",Exact Figure,Easy,YES,"ANAROCK Press Release, 26 March 2020","residential, launches, Q1 2020, COVID, ANAROCK"
QA002,2020,Factual - Quantitative,What was the share of total new residential launches in India that Bengaluru accounted for in Q2 2020?,Bengaluru led new residential launches in Q2 2020 with approximately 49 per cent of total new launches across major Indian cities. Developers in Bengaluru pivoted aggressively to virtual tours and digital sales channels during the lockdown period. This was noted in a CREDAI Bengaluru statement and an ANAROCK consumer sentiment survey which also found that 82 per cent of Bengaluru respondents had booked homes either during or just before the lockdown.,Exact Percentage,Medium,YES,"CREDAI Bengaluru statement, ANAROCK Consumer Sentiment Survey 2020","launches, Q2 2020, COVID, CREDAI, market share"
QA003,2020,Factual - Economic Policy,What monetary policy action did the RBI take in 2020 that impacted Bengaluru housing demand?,"The Reserve Bank of India maintained its repo rate at a record low of 4 per cent through 2020, an accommodative stance that pushed home loan rates below 7 per cent. SBI launched a repo-linked home loan at 6.95 per cent. ANAROCK noted a 40 per cent month-on-month increase in housing enquiries in Bengaluru following the rate cut cycle. The low EMI environment combined with pandemic-driven preference for home ownership created a demand tailwind that sustained through the H2 2020 festive season.",Policy Explanation,Medium,YES,"RBI monetary policy statements; SBI press release; ANAROCK survey","RBI, repo rate, home loan, affordability, SBI, monetary policy"
QA004,2021,Factual - Quantitative,What were Bengaluru's residential unit sales in Q1 2021 according to ANAROCK?,"Bengaluru's residential sales in Q1 2021 (January–March 2021) were approximately 8,670 units according to ANAROCK data, making it the strongest Q1 for the city since before the pandemic. At the India level, 58,290 homes were sold across the top 7 cities in Q1 2021 — breaching pre-COVID levels. Q2 2021, affected by the second COVID wave, saw Bengaluru sales fall sharply to an estimated 3,560 units, down 59 per cent quarter-on-quarter.",Exact Figure,Easy,YES,"ANAROCK Q1 2021 data; Business Today 23 June 2021","residential, sales, Q1 2021, Q2 2021, second wave, ANAROCK"
QA005,2021,Factual - Quantitative,How many residential units were sold in Bengaluru in the full calendar year 2021 according to PropEquity?,"PropEquity's city-level data shows residential unit sales in Bengaluru increased to 43,181 units in the 2021 calendar year, compared with approximately 27,000-28,000 units in 2020 — representing a rise of approximately 50 per cent year-on-year. The 2021 recovery was driven by pent-up demand, record-low home loan rates and a post-second-wave rebound in H2 2021.",Exact Figure,Easy,YES,"PropEquity data cited in Business Standard 28 September 2025 (historical series)","residential, sales, annual 2021, PropEquity, recovery"
QA006,2021,Contextual - Policy,What tax policy changes in Union Budget 2021 were relevant to the Bengaluru real estate market?,"The Union Budget 2021-22 contained two significant real estate provisions: first, Section 80EEA — which offered an additional INR 1.5 lakh income tax deduction to first-time homebuyers of affordable properties on home loans sanctioned between April 2019 and March 2021 — was extended for another year to 31 March 2022. Second, TDS on REIT distributions was removed, and REITs were opened to Foreign Portfolio Investor participation, benefiting Bengaluru-anchored Embassy Office Parks REIT. The Section 80EEA extension supported demand in peripheral Bengaluru micro-markets including Electronic City, Kanakapura Road and Yelahanka where ticket sizes were still largely within the affordable threshold.",Policy Explanation,Hard,YES,"Finance Ministry Union Budget 2021-22; Embassy REIT investor presentations","budget 2021, Section 80EEA, REIT, TDS, affordable housing, Embassy REIT"
QA007,2022,Factual - Quantitative,What were Bengaluru's residential unit sales in H1 2022 and what was the year-on-year growth?,"Residential sales in Bengaluru surged 80 per cent year-on-year to 26,677 units in the first half of 2022 (January–June 2022), according to Knight Frank India. This compares with approximately 14,820 units sold in H1 2021. The sharp growth reflected the IT-sector employment boom, pent-up demand from the pandemic years and the release of units delayed by construction disruptions. India-wide, housing sales rose 60 per cent year-on-year in H1 2022 across eight major cities at 1,58,705 units.",Exact Figure with Context,Easy,YES,"Knight Frank India H1 2022; Brickwork Research July 2024","residential, sales, H1 2022, Knight Frank, YoY growth"
QA008,2022,Factual - Quantitative,What was Bengaluru's total residential unit sales for the full calendar year 2022 per PropEquity?,"PropEquity's city-level data shows Bengaluru residential sales reached 60,391 units in the 2022 calendar year, more than double the 2020 pandemic trough. This made 2022 the strongest residential sales year for the city in recent history at that time. The full-year performance was supported by a strong H1 2022 driven by the IT employment boom, with some moderation in H2 as RBI rate hikes began to impact affordability.",Exact Figure,Easy,YES,"PropEquity data cited in Business Standard 28 September 2025 (historical series)","residential, sales, annual 2022, PropEquity"
QA009,2022,Factual - Economic,What triggered residential price increases in Bengaluru in 2022?,"Bengaluru residential prices rose approximately 8-15 per cent over 2022, driven by a combination of factors. First, construction material costs surged significantly — steel prices reached approximately INR 68,000 per metric tonne and cement averaged over INR 400 per bag, representing increases of 35 per cent and 28 per cent respectively from pre-pandemic levels. CREDAI Bengaluru noted that developers who had held prices flat through 2020-21 implemented phased price revisions from Q2 2022. Second, strong IT-sector demand, depleting unsold inventory and improved buyer confidence also supported price increases.",Causal Analysis,Medium,YES,"CREDAI Bengaluru; ANAROCK 2022; Brickwork Research","pricing, inflation, steel, cement, construction cost, 2022"
QA010,2022,Factual - Commercial,What was India's Grade-A office gross absorption in 2022 and how did Bengaluru contribute?,"India's top-six cities recorded approximately 59.6 million square feet of gross office absorption in 2022, setting a record at that time. Bengaluru contributed approximately 33 per cent of national demand — estimated at 17-20 MSF — retaining its position as India's leading office market. The Outer Ring Road was the dominant micro-market. GCCs accounted for approximately 35 per cent of Bengaluru's absorption, with BFSI and Engineering & Manufacturing sectors growing their share of take-up.",Quantitative + Context,Medium,YES,"JLL; Colliers; Cushman & Wakefield 2022 annual reports","commercial, office, absorption, 2022, Bengaluru, ORR, GCC"
