year,segment,metric,value,unit,source,notes
2020,Residential,Total Units Sold (Top 7 Cities),138000,units,ANAROCK,"ANAROCK year-end data: top 7 cities saw total home sales of over 1.38 lakh units in 2020"
2020,Residential,Bengaluru Units Launched Q1,8600,units,ANAROCK,"ANAROCK Q1 2020: Bengaluru added approx. 8,600 units in Q1 2020; quarterly decrease of 18%"
2020,Residential,Q1 2020 Share of Sub-80L Supply,87,percent,ANAROCK,"Over 87% of new supply in Bengaluru Q1 2020 was in the sub INR 80 lakh price bracket"
2020,Residential,Bengaluru Q2 2020 Share of New Launches India,49,percent,CREDAI/ANAROCK,"Bengaluru led Q2 2020 with 49% share of total new launches across top cities"
2020,Residential,Bengaluru Q1 2021 Sales (baseline for recovery),8670,units,ANAROCK/Business Today,"Q1 2021 Bengaluru sales 8,670 units; Q2 2021 (second-wave) estimated ~3,560 units"
2020,Commercial,India Top-6 Office Gross Absorption,34,msf,JLL/Colliers,"2020 saw sharp COVID impact; India-wide gross absorption fell from ~60 MSF (2019) to ~34 MSF"
2020,Commercial,Bengaluru Share of India Office Demand,~33,percent,JLL,"Bengaluru consistently held ~33% of pan-India office demand 2020-2024"
2021,Residential,Total Units Sold (Top 7 Cities),232000,units,ANAROCK,"Between Jan-Sep 2021 alone: 1.45 lakh units sold across top 7 - 5% higher than full-year 2020"
2021,Residential,Bengaluru Sales Q1 2021,8670,units,ANAROCK/Business Today,"Bengaluru Q1 2021 sales 8,670 units; strongest Q1 since pre-pandemic"
2021,Residential,Bengaluru Sales Q2 2021 (second wave),3560,units,ANAROCK/Business Today,"Q2 2021 second COVID wave impact; sales estimated ~3,560 units; -59% QoQ"
2021,Residential,Bengaluru Sales YoY Price Growth,2,percent,ANAROCK,"Bengaluru avg residential prices rose 2% YoY in 2021; NCR also 2%; other cities 1%"
2021,Residential,PropEquity Bengaluru Annual Sales 2021,43181,units,PropEquity,"PropEquity city-level data: sales increased to 43,181 units in 2021 calendar year"
2022,Residential,PropEquity Bengaluru Annual Sales 2022,60391,units,PropEquity,"PropEquity city-level data: 60,391 units in 2022 calendar year"
2022,Residential,Bengaluru H1 2022 Sales YoY Growth,80,percent,Knight Frank/Brickwork,"Residential sales in Bengaluru surged 80% YoY to 26,677 units in H1 2022 (Knight Frank)"
2022,Residential,Bengaluru H1 2022 Sales,26677,units,Knight Frank,"Knight Frank: housing sales in Bengaluru 26,677 units in January-June 2022"
2022,Commercial,India Top-6 Office Gross Absorption,59.6,msf,JLL/Colliers,"2022 set consecutive high; Bengaluru drove ~33% of national demand"
2022,Commercial,Bengaluru Office Gross Absorption (est),~19,msf,JLL/Colliers,"Bengaluru ~33% share of national 59 MSF; consistent with 17-20 MSF city estimate"
2023,Residential,India Top-8 Cities Annual Sales,476530,units,ANAROCK,"ANAROCK year-end 2023: 4,76,530 units sold in top 7 cities; 31% YoY growth"
2023,Residential,India Top-8 Cities Annual Launches,445770,units,ANAROCK,"New launches across top 7 cities rose 25% from ~3,57,640 units in 2022 to ~4,45,770 in 2023"
2023,Residential,India Residential Prices YoY Rise,15,percent,ANAROCK,"Residential prices rose 10-24% across top 7 cities in 2023; avg ~15%"
2023,Residential,Bengaluru Launch YoY Growth 2023,18,percent,Knight Frank/Brickwork,"Bengaluru registered 18% growth in launches in 2023 (Knight Frank via Brickwork Research)"
2023,Commercial,India Top-6 Office Gross Absorption,58.2,msf,Colliers,"Colliers Q4 2023: India office market 58.2 mn sq ft gross absorption; 16% YoY growth"
2023,Commercial,Bengaluru + Delhi NCR Share of India Leasing,~50,percent,Colliers,"Bengaluru and Delhi NCR drove ~50% of total India office demand in 2023 (Colliers)"
2023,Commercial,Engineering & Mfg Share in Bengaluru,26,percent,Colliers,"Engineering & Manufacturing players (26% share) surpassed Technology firms (22% share) in Bengaluru in 2023"
2023,Commercial,Technology Share of Bengaluru Office Leasing,22,percent,Colliers,"Tech occupier rationalization; tech fell from ~40%+ to 22% share in Bengaluru (Colliers 2023)"
2023,Commercial,Bengaluru Share of India New Office Completions,35,percent,Colliers,"Bengaluru accounted for 35% of new completions in 2023 nationally"
2024,Residential,ANAROCK Bengaluru Launches 2024,71000,units,ANAROCK,"Bengaluru new launches reached 71,000 units in 2024; 30% YoY growth from 2023 (ANAROCK)"
2024,Residential,ANAROCK Bengaluru Sales 2024,65200,units,ANAROCK,"Bengaluru residential sales 65,200 units in 2024; modest 2% increase vs 2023 (ANAROCK)"
2024,Residential,East Bengaluru Share of Launches 2024,48,percent,ANAROCK,"East Bengaluru dominated with 48% of city's new launches and 50% of total sales in 2024"
2024,Residential,East Bengaluru Share of Sales 2024,50,percent,ANAROCK,"East Bengaluru (33,900 units launched; 32,900 units sold) - strongest year-over-year sales growth"
2024,Residential,North Bengaluru Share of Launches 2024,32,percent,ANAROCK,"North Bengaluru contributed 32% of launches and 27% of sales in 2024"
2024,Residential,North Bengaluru YoY Launch Growth 2024,56,percent,ANAROCK,"North Bengaluru had strongest year-over-year growth in launches at 56% (ANAROCK 2024)"
2024,Residential,High-End Segment Share of Launches 2024,39,percent,ANAROCK,"High-end segment (INR 80L – 1.5 Cr) captured largest share at 39% of new launches in 2024"
2024,Residential,Mid-End Segment Share of Launches 2024,27,percent,ANAROCK,"Mid-end (INR 40L – 80L) at 27% of launches in 2024"
